id,voted16,trump16,clinton16,voted12,obama12,romney12,democrat,republican,liberal,conservative,age,female,white,black,hispanic,asian,income100,church,south,apprentice,homealone2
264,1,0,1,1,1,0,0,0,1,0,41,0,1,0,0,0,0,0,0,0,1
265,1,1,0,1,1,0,0,0,0,1,52,0,1,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,1,0,0,0,62,1,1,0,0,0,0,1,0,0,0
267,0,0,0,1,0,1,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
268,1,0,1,1,1,0,1,0,1,0,57,1,0,0,0,0,0,0,0,0,1
269,1,1,0,1,0,1,0,0,0,1,64,0,1,0,0,0,0,1,0,0,1
270,1,1,0,1,0,1,0,0,0,0,58,1,1,0,0,0,0,0,0,0,1
271,1,1,0,1,0,1,0,0,0,1,75,1,1,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,1,0,1,0,24,1,0,0,0,1,0,0,0,1,1
273,1,0,1,0,0,0,1,0,1,0,79,1,1,0,0,0,0,0,0,0,0
274,0,0,0,1,0,0,0,1,0,1,26,1,1,0,0,0,0,0,0,1,1
275,1,1,0,0,0,0,0,1,1,0,35,1,1,0,0,0,0,0,1,0,0
276,1,1,0,0,0,0,0,0,0,1,50,0,1,0,0,0,0,0,1,1,1
277,0,0,0,1,1,0,1,0,0,0,58,1,1,0,0,0,0,1,0,0,1
278,1,0,1,1,1,0,1,0,1,0,75,0,1,0,0,0,1,0,0,1,1
279,1,1,0,1,0,1,0,1,0,1,74,1,1,0,0,0,1,0,1,0,1
280,0,0,0,0,0,0,0,0,0,1,28,1,0,0,1,0,0,0,1,0,0
281,1,0,1,1,1,0,0,0,0,1,45,0,1,0,0,0,1,0,0,1,0
282,0,0,0,0,0,0,1,0,1,0,53,1,1,0,0,0,0,0,1,0,0
283,1,1,0,1,0,1,0,1,0,1,55,1,1,0,0,0,0,0,0,0,1
284,1,1,0,1,0,1,0,0,0,1,77,0,1,0,0,0,0,0,1,0,1
285,0,0,0,1,1,0,0,0,0,0,50,1,1,0,0,0,0,0,0,0,1
286,1,1,0,1,0,1,0,1,0,1,56,0,1,0,0,0,1,0,0,0,1
287,0,0,0,1,0,1,0,0,0,1,48,1,0,0,0,1,1,0,0,1,1
288,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,1,0,0,1
289,1,0,0,1,1,0,1,0,0,0,69,1,0,1,0,0,0,1,1,0,0
290,0,0,0,1,1,0,1,0,0,1,52,1,1,0,0,0,0,0,0,0,1
291,0,0,0,0,0,0,1,0,1,0,26,1,0,0,1,0,0,0,0,0,0
292,0,0,0,1,0,1,0,1,0,1,62,1,1,0,0,0,0,0,0,0,1
293,1,0,0,0,0,0,1,0,1,0,38,1,0,0,0,1,0,0,0,1,0
294,0,0,0,0,0,0,1,0,1,0,38,0,1,0,0,0,0,0,0,1,0
295,0,0,0,0,0,0,1,0,0,0,34,1,0,0,1,0,1,0,1,1,1
296,0,0,0,1,0,1,0,1,0,1,37,0,0,1,0,0,0,0,1,0,0
297,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,1
298,1,1,0,1,0,1,0,1,0,1,66,0,1,0,0,0,0,1,0,0,1
299,1,1,0,1,0,1,0,1,0,1,43,0,1,0,0,0,0,0,1,0,0
300,1,0,1,1,1,0,1,0,0,0,70,1,1,0,0,0,0,1,0,0,0
301,1,0,1,0,0,0,1,0,1,0,27,1,1,0,0,0,0,0,0,0,0
302,1,0,0,1,0,0,0,0,1,0,77,1,1,0,0,0,0,0,0,1,1
303,1,1,0,1,0,1,0,1,0,1,70,0,1,0,0,0,1,0,1,1,0
304,0,0,0,0,0,0,1,0,0,0,33,1,1,0,0,0,1,1,1,0,1
305,0,0,0,1,1,0,1,0,0,0,63,0,0,1,0,0,0,0,0,0,0
